date,strategy,nav,nav_gross,nav_net,cash,debt,interest,collateral_value,maintenance,gross_exposure,net_exposure,turnover,transaction_cost,signal,position,margin_call,liquidation_event,eligible_collateral_value,eligible_target_value,eligible_total_value,non_eligible_asset_value,target_value,required_repayment,required_additional_collateral,liquidation_proceeds,net_equity,cost_drag
2018-08-29,ma200_switch_00685L,1.0305380009280447,1.0305380009280447,1.0305380009280447,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-08-30,ma200_switch_00685L,1.0312571481722375,1.0312571481722375,1.0312571481722375,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-08-31,ma200_switch_00685L,1.026223117462889,1.026223117462889,1.026223117462889,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-09-03,ma200_switch_00685L,1.0096827308464584,1.0096827308464584,1.0096827308464584,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-09-04,ma200_switch_00685L,1.0233465284861185,1.0233465284861185,1.0233465284861185,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-09-05,ma200_switch_00685L,1.0190316450209627,1.0190316450209627,1.0190316450209627,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-09-06,ma200_switch_00685L,1.0053678473813026,1.0053678473813026,1.0053678473813026,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-09-07,ma200_switch_00685L,0.9938614914742203,0.9938614914742203,0.9938614914742203,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-09-10,ma200_switch_00685L,0.9766019576135971,0.9766019576135971,0.9766019576135971,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-09-11,ma200_switch_00685L,0.97732110485779,0.97732110485779,0.97732110485779,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-09-12,ma200_switch_00685L,0.9737253686368267,0.9737253686368267,0.9737253686368267,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-09-13,ma200_switch_00685L,0.9737253686368267,0.9737253686368267,0.9737253686368267,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-09-14,ma200_switch_00685L,1.0032104056487248,1.0032104056487248,1.0032104056487248,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-09-17,ma200_switch_00685L,0.9917040497416427,0.9917040497416427,0.9917040497416427,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-09-18,ma200_switch_00685L,0.9837934300555237,0.9837934300555237,0.9837934300555237,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-09-19,ma200_switch_00685L,0.9981763749393765,0.9981763749393765,0.9981763749393765,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-09-20,ma200_switch_00685L,0.9945806387184133,0.9945806387184133,0.9945806387184133,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-09-21,ma200_switch_00685L,1.0183124977767701,1.0183124977767701,1.0183124977767701,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
